ORDERDATE,ORDERNUMBER,ORDERLINENUMBER,PRODUCTCODE,PRODUCTLINE,QUANTITYORDERED,PRICEEACH,SALES
2/20/2004 0:00,10223,10,S24_4278,Planes,23,74.62,1716.26
11/29/2004 0:00,10347,5,S18_1097,Trucks and Buses,42,49.6,2083.2
4/29/2003 0:00,10120,7,S700_2834,Planes,24,100,3417.12
11/4/2003 0:00,10169,12,S32_4485,Motorcycles,34,100,3920.88
11/21/2003 0:00,10193,12,S24_3969,Vintage Cars,22,41.03,902.66
5/21/2003 0:00,10125,1,S18_1342,Vintage Cars,32,100,3254.72
7/16/2003 0:00,10139,5,S18_3320,Vintage Cars,30,100,3095.4
2/4/2004 0:00,10217,5,S18_4600,Trucks and Buses,38,100,4509.08
3/9/2005 0:00,10391,2,S18_1342,Vintage Cars,35,100,5548.9
3/9/2005 0:00,10391,3,S18_1367,Vintage Cars,42,100,4998
9/1/2004 0:00,10288,14,S18_1589,Classic Cars,20,100,2936.8
11/21/2003 0:00,10193,9,S24_2022,Vintage Cars,20,50.62,1012.4
2/20/2004 0:00,10223,15,S700_3167,Planes,26,67.2,1747.2
5/29/2005 0:00,10420,3,S24_3969,Vintage Cars,15,43.49,652.35
5/29/2005 0:00,10420,5,S18_1749,Vintage Cars,37,100,5283.6
11/24/2004 0:00,10342,1,S18_1889,Classic Cars,55,65.45,3599.75
9/11/2003 0:00,10148,12,S18_1984,Classic Cars,25,100,4232
6/15/2004 0:00,10259,11,S32_1268,Trucks and Buses,45,86.68,3900.6
11/24/2004 0:00,10342,3,S18_1984,Classic Cars,22,100,3160.74
9/1/2004 0:00,10288,6,S18_4409,Vintage Cars,35,80.99,2834.65
11/21/2003 0:00,10193,13,S18_2248,Vintage Cars,42,59.33,2491.86
9/1/2004 0:00,10288,4,S18_2248,Vintage Cars,28,61.75,1729
9/11/2003 0:00,10148,8,S24_1628,Classic Cars,47,56.85,2671.95
6/15/2004 0:00,10259,7,S18_2319,Trucks and Buses,34,99.41,3379.94
1/20/2005 0:00,10370,5,S18_2319,Trucks and Buses,22,100,3949
11/21/2003 0:00,10193,11,S18_2325,Vintage Cars,44,100,4642.88
9/1/2004 0:00,10288,2,S18_2325,Vintage Cars,31,100,3822.92
5/29/2005 0:00,10420,2,S18_2325,Vintage Cars,45,100,4977
12/17/2004 0:00,10361,14,S700_2047,Ships,24,45.39,1089.36
12/17/2004 0:00,10361,7,S24_3949,Planes,26,100,3710.98
3/9/2005 0:00,10391,5,S18_2432,Trucks and Buses,44,38.5,1694
12/17/2004 0:00,10361,5,S700_2834,Planes,44,72.42,3186.48
7/19/2004 0:00,10270,7,S18_4668,Vintage Cars,44,58.36,2567.84
11/24/2004 0:00,10342,5,S18_3278,Classic Cars,25,66.74,1668.5
2/2/2005 0:00,10374,2,S18_2581,Planes,42,69.27,2909.34
4/29/2003 0:00,10120,4,S18_2625,Motorcycles,46,58.15,2674.9
2/20/2004 0:00,10223,5,S18_2625,Motorcycles,28,60.57,1695.96
1/20/2005 0:00,10370,3,S32_3522,Trucks and Buses,25,100,3160.25
12/17/2004 0:00,10361,11,S700_4002,Planes,35,100,4277.35
5/21/2003 0:00,10125,2,S18_2795,Vintage Cars,34,100,6483.46
7/16/2003 0:00,10139,8,S18_2795,Vintage Cars,41,100,7956.46
9/25/2003 0:00,10152,2,S32_3207,Trains,33,50.95,1681.35
4/29/2003 0:00,10120,12,S50_1341,Vintage Cars,49,50.62,2480.38
11/29/2004 0:00,10347,9,S18_2949,Vintage Cars,48,100,4814.4
3/9/2005 0:00,10391,6,S18_2949,Vintage Cars,32,45.25,1448
5/29/2005 0:00,10420,7,S18_4933,Classic Cars,36,57.73,2078.28
9/11/2003 0:00,10148,14,S18_3232,Classic Cars,32,100,5418.88
11/4/2003 0:00,10169,9,S32_2206,Motorcycles,26,39.83,1035.58
11/24/2004 0:00,10342,8,S18_3782,Motorcycles,26,55.95,1454.7
7/16/2003 0:00,10139,2,S18_3136,Vintage Cars,20,90.06,1801.2
11/21/2003 0:00,10193,2,S18_3136,Vintage Cars,23,100,2769.89
7/19/2004 0:00,10270,11,S18_3136,Vintage Cars,38,100,4775.08
9/11/2003 0:00,10148,4,S24_2766,Classic Cars,21,73.6,1545.6
