ORDERDATE,ORDERNUMBER,ORDERLINENUMBER,PRODUCTCODE,PRODUCTLINE,QUANTITYORDERED,PRICEEACH,SALES
10/23/2003 0:00,10167,10,S700_2610,Ships,46,70.11,3225.06
11/5/2004 0:00,10325,8,S12_1108,Classic Cars,42,64,2688
3/15/2005 0:00,10394,6,S24_2840,Classic Cars,46,38.9,1789.4
8/17/2004 0:00,10280,17,S18_4409,Vintage Cars,35,100,3704.05
2/10/2005 0:00,10379,4,S18_3685,Classic Cars,32,70.83,2266.56
11/24/2004 0:00,10340,2,S32_1374,Motorcycles,55,100,6482.85
11/14/2003 0:00,10186,8,S24_3816,Vintage Cars,36,85.54,3079.44
10/21/2003 0:00,10164,6,S12_1666,Trucks and Buses,49,100,6563.06
11/25/2003 0:00,10194,8,S12_1666,Trucks and Buses,38,100,4933.92
1/31/2005 0:00,10373,13,S24_3949,Planes,39,73,2847
11/5/2003 0:00,10173,11,S24_3969,Vintage Cars,35,33.23,1163.05
6/6/2003 0:00,10128,4,S18_3259,Trains,41,100,4837.18
10/22/2004 0:00,10314,9,S32_3207,Trains,35,66.49,2327.15
3/15/2005 0:00,10394,5,S18_3232,Classic Cars,22,100,3353.02
3/18/2003 0:00,10110,11,S24_2766,Classic Cars,43,78.15,3360.45
3/15/2004 0:00,10230,4,S32_3207,Trains,46,60.9,2801.4
11/1/2004 0:00,10316,14,S18_3856,Vintage Cars,47,86.81,4080.07
11/5/2003 0:00,10173,4,S18_3320,Vintage Cars,29,95.24,2761.96
10/23/2003 0:00,10167,13,S700_3505,Ships,24,100,2812.8
1/15/2004 0:00,10211,13,S12_2823,Motorcycles,36,100,4771.8
11/12/2004 0:00,10328,5,S32_4289,Vintage Cars,24,81.17,1948.08
2/11/2003 0:00,10105,4,S24_3151,Vintage Cars,44,72.58,3193.52
9/30/2004 0:00,10299,8,S12_2823,Motorcycles,24,100,4157.04
10/15/2004 0:00,10309,4,S12_2823,Motorcycles,26,100,4660.24
11/24/2004 0:00,10341,8,S12_2823,Motorcycles,55,100,8118.55
1/29/2003 0:00,10103,3,S32_1268,Trucks and Buses,31,100,3224.31
11/7/2003 0:00,10177,2,S24_3151,Vintage Cars,45,72.58,3266.1
2/12/2004 0:00,10220,5,S18_4027,Classic Cars,50,100,8258
2/22/2004 0:00,10225,14,S18_4721,Classic Cars,35,100,5260.15
3/18/2003 0:00,10110,2,S24_2022,Vintage Cars,39,44.35,1729.65
12/10/2004 0:00,10358,4,S24_2840,Classic Cars,36,82.94,2985.84
1/2/2004 0:00,10208,14,S12_3148,Classic Cars,26,100,3142.36
9/28/2003 0:00,10153,5,S24_2011,Ships,40,100,5456.4
6/24/2004 0:00,10262,4,S700_1691,Planes,40,84.03,3361.2
5/5/2004 0:00,10247,3,S12_3148,Classic Cars,25,100,4381.25
12/7/2004 0:00,10355,6,S24_3371,Classic Cars,44,62.45,2747.8
2/11/2003 0:00,10105,3,S700_2610,Ships,31,65.77,2038.87
6/24/2004 0:00,10262,1,S24_1785,Planes,34,97.38,3310.92
10/22/2004 0:00,10314,6,S12_3148,Classic Cars,46,100,6393.54
11/24/2004 0:00,10343,2,S18_3685,Classic Cars,44,84.88,3734.72
11/1/2004 0:00,10348,4,S12_3148,Classic Cars,47,100,4801.52
10/6/2003 0:00,10155,2,S700_2466,Planes,20,100,2353.4
10/16/2004 0:00,10311,2,S18_4933,Classic Cars,25,66.99,1674.75
1/15/2004 0:00,10211,5,S18_3278,Classic Cars,35,78,2730
1/29/2003 0:00,10103,5,S18_4600,Trucks and Buses,36,100,4228.2
11/12/2003 0:00,10181,12,S12_3380,Classic Cars,28,100,2860.76
11/20/2003 0:00,10191,1,S12_3380,Classic Cars,40,100,5590
12/2/2003 0:00,10203,6,S12_3380,Classic Cars,20,100,2254.8
1/16/2004 0:00,10212,16,S12_3380,Classic Cars,39,100,4946.76
2/22/2004 0:00,10225,7,S12_3380,Classic Cars,25,99.82,2495.5
4/9/2004 0:00,10238,1,S12_3380,Classic Cars,29,100,3167.38
7/6/2004 0:00,10266,12,S12_3380,Classic Cars,22,100,2454.54
1/6/2005 0:00,10363,11,S18_3482,Classic Cars,24,100,4142.64
10/16/2004 0:00,10310,8,S12_3380,Classic Cars,24,100,3100.32
2/16/2005 0:00,10380,9,S24_3191,Classic Cars,44,79.06,3478.64
11/24/2004 0:00,10341,1,S12_3380,Classic Cars,44,95.93,4220.92
5/30/2005 0:00,10423,5,S18_3320,Vintage Cars,21,89.29,1875.09
11/9/2004 0:00,10326,5,S18_4522,Vintage Cars,50,86.01,4300.5
2/11/2003 0:00,10105,14,S12_3891,Classic Cars,29,100,4566.05
9/28/2003 0:00,10153,10,S12_3891,Classic Cars,49,100,7036.89
2/22/2004 0:00,10225,2,S18_3232,Classic Cars,43,100,6407.86
2/12/2004 0:00,10220,4,S50_1514,Trains,30,68.54,2056.2
8/1/2003 0:00,10141,3,S50_1392,Trucks and Buses,44,100,5500.44
11/5/2003 0:00,10173,3,S24_4258,Vintage Cars,22,100,2571.14
9/9/2004 0:00,10293,7,S12_3891,Classic Cars,45,100,8253
10/14/2004 0:00,10306,12,S12_3891,Classic Cars,20,100,3633.4
11/5/2004 0:00,10325,1,S12_3891,Classic Cars,24,100,2583.6
11/20/2004 0:00,10336,1,S12_3891,Classic Cars,49,63.38,3105.62
10/6/2003 0:00,10302,6,S24_3191,Classic Cars,48,74.48,3575.04
3/3/2005 0:00,10389,2,S24_2000,Motorcycles,49,81.4,3988.6
5/28/2003 0:00,10126,15,S24_4258,Vintage Cars,34,100,3576.12
11/5/2003 0:00,10173,16,S24_2887,Classic Cars,23,100,2728.03
11/17/2004 0:00,10332,12,S24_3191,Classic Cars,45,34.19,1538.55
8/9/2004 0:00,10279,2,S24_2887,Classic Cars,48,100,5580.96
2/21/2004 0:00,10224,4,S24_2360,Motorcycles,37,80.34,2972.58
4/13/2004 0:00,10241,3,S18_4409,Vintage Cars,42,90.19,3787.98
4/9/2004 0:00,10238,4,S12_3990,Classic Cars,20,74.21,1484.2
7/6/2004 0:00,10266,15,S12_3990,Classic Cars,35,76.61,2681.35
1/9/2003 0:00,10101,2,S24_2022,Vintage Cars,46,53.76,2472.96
11/1/2004 0:00,10348,3,S32_1268,Trucks and Buses,42,100,6386.94
10/17/2003 0:00,10161,2,S24_2887,Classic Cars,25,100,2759.75
12/7/2004 0:00,10355,7,S18_3482,Classic Cars,23,100,3177.91
10/11/2004 0:00,10304,10,S24_4258,Vintage Cars,33,100,3342.57
2/9/2005 0:00,10377,5,S12_3990,Classic Cars,24,67.83,1627.92
1/16/2004 0:00,10212,11,S18_3232,Classic Cars,40,100,5554.4
2/11/2003 0:00,10105,13,S18_3259,Trains,38,100,4330.1
3/28/2005 0:00,10397,5,S700_1938,Ships,32,80.55,2577.6
11/14/2003 0:00,10184,6,S12_4473,Trucks and Buses,37,100,4516.22
3/20/2004 0:00,10232,7,S700_1938,Ships,26,88.34,2296.84
10/22/2004 0:00,10314,10,S24_4048,Classic Cars,38,100,4000.26
11/9/2004 0:00,10326,6,S18_3259,Trains,32,100,3807.68
1/9/2003 0:00,10101,3,S24_1937,Vintage Cars,45,31.2,1404
11/5/2003 0:00,10173,9,S24_1937,Vintage Cars,31,31.53,977.43
3/1/2005 0:00,10386,17,S700_3167,Planes,32,94.34,3018.88
10/22/2004 0:00,10314,14,S12_4473,Trucks and Buses,45,100,6185.7
1/31/2003 0:00,10104,4,S32_3207,Trains,49,65.87,3227.63
5/26/2004 0:00,10252,1,S18_3482,Classic Cars,41,100,6749.83
4/1/2003 0:00,10114,1,S24_2840,Classic Cars,24,30.06,721.44
6/6/2003 0:00,10128,3,S700_1938,Ships,32,97,3104
11/12/2004 0:00,10328,3,S24_3949,Planes,35,76.43,2675.05
11/5/2004 0:00,10325,5,S24_4048,Classic Cars,44,100,5325.76
2/22/2004 0:00,10225,6,S12_4675,Classic Cars,21,100,2684.43
4/12/2004 0:00,10239,5,S12_4675,Classic Cars,21,93.28,1958.88
6/1/2004 0:00,10253,10,S12_4675,Classic Cars,41,100,4910.57
12/9/2004 0:00,10356,5,S24_1937,Vintage Cars,48,100,9720
8/30/2004 0:00,10287,9,S12_4675,Classic Cars,23,100,2675.13
10/4/2003 0:00,10300,2,S12_4675,Classic Cars,23,100,2807.61
6/24/2004 0:00,10262,5,S700_3167,Planes,27,76,2052
11/24/2004 0:00,10341,7,S12_4675,Classic Cars,55,75.2,4136
1/6/2005 0:00,10363,6,S12_4675,Classic Cars,46,88.45,4068.7
5/5/2004 0:00,10246,2,S24_1444,Classic Cars,44,52.6,2314.4
4/14/2005 0:00,10405,5,S12_4675,Classic Cars,97,93.28,9048.16
5/17/2005 0:00,10419,10,S12_4675,Classic Cars,32,100,3832.64
1/6/2005 0:00,10363,13,S18_4721,Classic Cars,28,58.18,1629.04
8/9/2004 0:00,10279,1,S18_4933,Classic Cars,26,60.58,1575.08
10/14/2004 0:00,10306,9,S18_3140,Vintage Cars,32,100,3759.04
4/9/2004 0:00,10238,7,S24_4620,Classic Cars,22,93.77,2062.94
5/17/2005 0:00,10419,7,S24_2972,Classic Cars,15,42.67,640.05
8/21/2004 0:00,10284,9,S700_4002,Planes,32,64.41,2061.12
2/10/2005 0:00,10378,4,S18_3278,Classic Cars,22,100,2464
8/17/2004 0:00,10280,1,S18_1097,Trucks and Buses,24,100,2800.08
9/8/2004 0:00,10291,10,S18_1097,Trucks and Buses,41,100,4687.94
10/16/2004 0:00,10310,4,S24_2972,Classic Cars,33,41.91,1383.03
10/29/2004 0:00,10315,5,S72_3212,Ships,40,55.69,2227.6
7/21/2004 0:00,10273,6,S24_3151,Vintage Cars,27,100,2796.12
5/3/2005 0:00,10412,3,S50_1392,Trucks and Buses,26,100,3460.86
11/7/2003 0:00,10177,6,S72_3212,Ships,40,50.23,2009.2
11/20/2003 0:00,10191,9,S18_3782,Motorcycles,43,72.74,3127.82
10/17/2003 0:00,10161,12,S18_1129,Classic Cars,28,100,3764.88
11/12/2003 0:00,10181,6,S18_1129,Classic Cars,44,100,5418.16
1/29/2003 0:00,10103,9,S18_4668,Vintage Cars,41,47.29,1938.89
10/14/2004 0:00,10306,2,S24_3151,Vintage Cars,31,84.08,2606.48
2/22/2004 0:00,10225,1,S18_1129,Classic Cars,32,100,4529.28
8/30/2004 0:00,10287,4,S18_1129,Classic Cars,41,100,6499.32
10/5/2003 0:00,10301,2,S24_3432,Classic Cars,22,96.37,2120.14
12/9/2004 0:00,10356,8,S18_1129,Classic Cars,43,97.6,4196.8
7/23/2004 0:00,10275,17,S700_4002,Planes,31,72.55,2249.05
2/9/2005 0:00,10377,2,S18_1129,Classic Cars,35,100,5895.05
5/5/2004 0:00,10246,10,S24_2300,Trucks and Buses,29,100,3520.6
4/7/2005 0:00,10402,3,S24_2000,Motorcycles,59,87.6,5168.4
11/5/2003 0:00,10173,6,S18_1342,Vintage Cars,43,100,5036.16
12/3/2003 0:00,10205,5,S24_1937,Vintage Cars,32,37.17,1189.44
8/21/2004 0:00,10284,12,S24_2841,Planes,30,73.99,2219.7
6/8/2004 0:00,10256,2,S18_1342,Vintage Cars,34,95.55,3248.7
8/17/2004 0:00,10280,9,S18_1342,Vintage Cars,50,100,5239.5
11/12/2003 0:00,10181,9,S24_3856,Classic Cars,25,100,3861.75
11/24/2004 0:00,10340,8,S24_2000,Motorcycles,55,79.98,4398.9
11/17/2004 0:00,10332,15,S18_1342,Vintage Cars,46,95.13,4375.98
2/22/2005 0:00,10383,3,S24_2840,Classic Cars,40,100,6089.6
11/25/2003 0:00,10194,1,S24_2300,Trucks and Buses,49,100,5760.93
2/16/2005 0:00,10380,13,S18_1342,Vintage Cars,27,93.16,2515.32
9/28/2003 0:00,10153,8,S700_1938,Ships,31,87.48,2711.88
11/5/2003 0:00,10173,5,S18_1367,Vintage Cars,48,44.21,2122.08
11/6/2003 0:00,10175,8,S32_1268,Trucks and Buses,22,100,2436.72
5/5/2004 0:00,10246,7,S32_2509,Trucks and Buses,35,48.7,1704.5
3/2/2004 0:00,10227,2,S18_1367,Vintage Cars,31,48.52,1504.12
12/10/2004 0:00,10358,2,S32_3522,Trucks and Buses,36,100,5669.64
6/1/2004 0:00,10253,3,S18_3685,Classic Cars,31,100,4029.38
10/11/2004 0:00,10304,12,S18_1367,Vintage Cars,37,48.52,1795.24
1/15/2004 0:00,10211,8,S18_3782,Motorcycles,46,54.09,2488.14
11/12/2004 0:00,10328,12,S700_4002,Planes,39,85.87,3348.93
11/6/2003 0:00,10175,2,S24_2840,Classic Cars,37,31.12,1151.44
10/15/2004 0:00,10309,1,S50_4713,Motorcycles,28,88.68,2483.04
3/18/2003 0:00,10110,16,S18_1589,Classic Cars,37,100,5433.08
4/13/2004 0:00,10241,9,S24_3432,Classic Cars,27,86.73,2341.71
11/1/2004 0:00,10348,1,S24_2300,Trucks and Buses,37,100,5981.42
10/17/2003 0:00,10161,8,S18_1589,Classic Cars,43,100,6153.73
10/11/2004 0:00,10304,16,S24_1937,Vintage Cars,23,30.2,694.6
11/26/2003 0:00,10197,2,S700_2047,Ships,24,90.52,2172.48
6/1/2004 0:00,10253,1,S18_1589,Classic Cars,24,100,3374.88
12/9/2004 0:00,10356,7,S24_2022,Vintage Cars,26,31.86,828.36
11/24/2004 0:00,10343,4,S18_1589,Classic Cars,36,100,5848.92
1/31/2005 0:00,10373,7,S24_2841,Planes,38,70.44,2676.72
1/31/2005 0:00,10373,16,S700_2610,Ships,41,70.33,2883.53
5/17/2005 0:00,10419,1,S18_1589,Classic Cars,37,100,5202.94
12/15/2004 0:00,10359,1,S32_3207,Trains,22,100,4301.22
4/28/2003 0:00,10119,3,S18_1662,Planes,43,100,6916.12
1/29/2003 0:00,10103,16,S18_3320,Vintage Cars,46,100,4791.82
5/8/2003 0:00,10122,9,S24_3371,Classic Cars,34,50.21,1707.14
10/6/2003 0:00,10155,5,S18_1662,Planes,38,100,6531.44
11/9/2004 0:00,10326,3,S24_3151,Vintage Cars,41,85.85,3519.85
11/8/2003 0:00,10178,4,S18_1662,Planes,42,100,6490.68
1/31/2003 0:00,10104,7,S50_1392,Trucks and Buses,33,100,3705.24
10/6/2003 0:00,10155,3,S700_4002,Planes,44,85.87,3778.28
6/24/2004 0:00,10262,9,S18_1662,Planes,49,100,6567.96
8/21/2004 0:00,10284,11,S18_1662,Planes,45,100,5747.85
3/30/2005 0:00,10398,6,S700_1691,Planes,47,87.69,4121.43
11/1/2004 0:00,10316,9,S18_1662,Planes,27,100,3704.13
11/10/2004 0:00,10327,6,S18_1662,Planes,25,100,2804.75
1/31/2005 0:00,10373,4,S18_1662,Planes,28,57.55,1611.4
3/1/2005 0:00,10386,7,S18_1662,Planes,25,54.57,1364.25
3/30/2005 0:00,10398,11,S18_1662,Planes,33,100,4215.09
5/10/2005 0:00,10416,14,S18_1662,Planes,24,100,4352.16
3/18/2003 0:00,10110,7,S18_1749,Vintage Cars,42,100,6069
1/26/2004 0:00,10214,5,S24_3969,Vintage Cars,44,34.88,1534.72
4/9/2004 0:00,10238,8,S18_4721,Classic Cars,44,100,6350.96
11/5/2003 0:00,10173,13,S18_1749,Vintage Cars,24,100,3508.8
9/15/2004 0:00,10296,6,S24_3949,Planes,32,71.65,2292.8
3/2/2004 0:00,10227,10,S18_1749,Vintage Cars,26,100,3712.8
4/13/2004 0:00,10241,2,S18_1749,Vintage Cars,41,100,7597.3
4/1/2003 0:00,10114,10,S700_2824,Classic Cars,42,100,4758.18
4/14/2005 0:00,10405,1,S18_3232,Classic Cars,55,100,8289.05
11/24/2004 0:00,10343,6,S24_1628,Classic Cars,27,36.21,977.67
11/4/2003 0:00,10170,2,S18_1889,Classic Cars,20,63.14,1262.8
3/2/2004 0:00,10227,6,S24_1937,Vintage Cars,42,29.21,1226.82
4/1/2003 0:00,10114,4,S18_3232,Classic Cars,48,100,8209.44
4/12/2004 0:00,10239,4,S18_1889,Classic Cars,46,73.92,3400.32
7/6/2004 0:00,10266,10,S18_1889,Classic Cars,33,74.69,2464.77
2/22/2005 0:00,10383,1,S18_4027,Classic Cars,38,100,5340.9
11/19/2003 0:00,10190,2,S50_4713,Motorcycles,40,66.72,2668.8
11/24/2004 0:00,10343,5,S32_2206,Motorcycles,29,100,3713.16
1/6/2005 0:00,10363,7,S18_1889,Classic Cars,22,100,3686.54
2/9/2005 0:00,10377,4,S18_1889,Classic Cars,31,67.76,2100.56
1/31/2003 0:00,10104,2,S50_1514,Trains,32,53.31,1705.92
4/14/2005 0:00,10405,4,S18_1889,Classic Cars,61,73.92,4509.12
5/17/2005 0:00,10419,9,S18_1889,Classic Cars,39,83.93,3273.27
5/31/2005 0:00,10424,4,S18_4668,Vintage Cars,26,59.87,1556.62
5/8/2003 0:00,10122,1,S18_1984,Classic Cars,31,100,4100.99
10/6/2003 0:00,10155,8,S72_1253,Planes,34,49.16,1671.44
4/29/2004 0:00,10244,5,S18_3320,Vintage Cars,36,84.33,3035.88
11/12/2003 0:00,10181,5,S18_1984,Classic Cars,21,100,3286.08
11/20/2004 0:00,10336,2,S700_2824,Classic Cars,46,100,9558.8
6/1/2004 0:00,10253,4,S18_1984,Classic Cars,33,100,4459.62
2/22/2005 0:00,10383,4,S24_4048,Classic Cars,21,93.91,1972.11
10/14/2004 0:00,10306,10,S700_1938,Ships,38,91.81,3488.78
1/10/2005 0:00,10366,3,S18_1984,Classic Cars,34,100,4207.84
2/9/2005 0:00,10377,6,S18_1984,Classic Cars,36,100,4352.76
10/17/2003 0:00,10161,3,S24_2766,Classic Cars,20,100,2144.6
1/31/2003 0:00,10104,8,S18_2238,Classic Cars,24,100,3457.92
1/16/2004 0:00,10212,13,S24_3856,Classic Cars,49,100,6949.67
9/28/2003 0:00,10153,9,S18_3259,Trains,29,88.74,2573.46
11/14/2003 0:00,10184,5,S18_2238,Classic Cars,46,100,7381.16
3/20/2004 0:00,10232,5,S18_4522,Vintage Cars,23,89.53,2059.19
8/30/2004 0:00,10287,16,S24_4620,Classic Cars,40,88.12,3524.8
3/15/2004 0:00,10230,8,S18_2238,Classic Cars,49,100,7300.51
12/2/2004 0:00,10350,7,S24_2011,Ships,34,50.33,1711.22
6/24/2004 0:00,10262,7,S700_4002,Planes,35,71.07,2487.45
11/20/2004 0:00,10336,6,S18_2238,Classic Cars,49,100,7460.74
3/3/2005 0:00,10389,1,S24_1578,Motorcycles,45,100,4597.65
9/15/2004 0:00,10296,9,S24_3420,Vintage Cars,31,53.92,1671.52
12/10/2004 0:00,10358,8,S18_4668,Vintage Cars,30,100,5302.8
5/31/2005 0:00,10425,3,S18_2238,Classic Cars,28,100,5318.04
11/20/2003 0:00,10191,7,S24_4620,Classic Cars,44,66.29,2916.76
1/2/2004 0:00,10208,3,S700_1138,Ships,38,74.67,2837.46
5/10/2005 0:00,10416,5,S24_4278,Planes,48,74.62,3581.76
11/17/2004 0:00,10332,10,S24_2022,Vintage Cars,26,85.52,2223.52
11/6/2003 0:00,10175,12,S32_3522,Trucks and Buses,29,74.98,2174.42
2/3/2005 0:00,10375,2,S24_4278,Planes,43,100,10039.6
1/26/2004 0:00,10214,6,S18_2248,Vintage Cars,21,62.96,1322.16
3/2/2004 0:00,10227,9,S18_2248,Vintage Cars,28,50.85,1423.8
8/17/2004 0:00,10280,15,S18_2248,Vintage Cars,25,62.96,1574
4/13/2004 0:00,10241,5,S24_2887,Classic Cars,28,98.65,2762.2
1/16/2004 0:00,10212,12,S24_2972,Classic Cars,34,43.42,1476.28
3/18/2003 0:00,10110,5,S24_3969,Vintage Cars,48,34.47,1654.56
9/15/2004 0:00,10296,3,S700_3167,Planes,22,80.8,1777.6
1/31/2003 0:00,10104,12,S18_2319,Trucks and Buses,29,100,3772.61
11/22/2004 0:00,10338,2,S18_3856,Vintage Cars,45,100,5526.45
11/14/2003 0:00,10184,9,S18_2319,Trucks and Buses,46,100,5984.14
8/1/2003 0:00,10141,9,S18_3232,Classic Cars,34,100,4836.5
10/6/2003 0:00,10302,5,S24_2766,Classic Cars,49,100,5298.86
7/16/2004 0:00,10269,2,S24_4258,Vintage Cars,48,97.39,4674.72
2/3/2005 0:00,10375,5,S50_1341,Vintage Cars,49,65.8,3224.2
6/1/2004 0:00,10253,12,S24_3371,Classic Cars,24,52.66,1263.84
11/8/2003 0:00,10178,11,S24_3816,Vintage Cars,21,72.12,1514.52
2/3/2005 0:00,10375,1,S700_2466,Planes,33,100,3856.71
